code,description,last_updated
A1001007Dressing for one wound,Dressing for one wound,2025-09-12
A2001007Dressing for two wounds,Dressing for two wounds,2025-09-12
A3001007Dressing for three wounds,Dressing for three wounds,2025-09-12
A4001007Dressing for four wounds,Dressing for four wounds,2025-09-12
A5001007Dressing for five wounds,Dressing for five wounds,2025-09-12
A6001007Dressing for six wounds,Dressing for six wounds,2025-09-12
A7001007Dressing for seven wounds,Dressing for seven wounds,2025-09-12
A8001007Dressing for eight wounds,Dressing for eight wounds,2025-09-12
A9001007Dressing for nine or more wounds,Dressing for 9 or more wound,2025-09-12
AA001007Anesthesia services performed personally by anesthesiologist,Anesthesia perf by anesgst,2025-09-12
AB001007Audiology service furnished personally by an audiologist without a,Aud svs w/o order evry 12mo,2025-09-12
AD001007Medical supervision by a physician: more than four concurrent anesthesia,"Md supervision, >4 anes proc",2025-09-12
AE001007Registered dietician,Registered dietician,2025-09-12
AF001007Specialty physician,Specialty physician,2025-09-12
AG001007Primary physician,Primary physician,2025-09-12
AH001007Clinical psychologist,Clinical psychologist,2025-09-12
AI001007Principal physician of record,Principal physician of rec,2025-09-12
AJ001007Clinical social worker,Clinical social worker,2025-09-12
AK001007Non participating physician,Non participating physician,2025-09-12
"AM001007Physician, team member service","Physician, team member svc",2025-09-12
AO001007Alternate payment method declined by provider of service,Prov declined alt pmt method,2025-09-12
AP001007Determination of refractive state was not performed in the course of diagnostic,No dtmn of refractive state,2025-09-12
AQ001007Physician providing a service in an unlisted health professional shortage area,Physician service hpsa area,2025-09-12
AR001007Physician provider services in a physician scarcity area,Physician scarcity area,2025-09-12
"AS001007Physician assistant, nurse practitioner, or clinical nurse specialist services",Assistant at surgery service,2025-09-12
"AT001007Acute treatment (this modifier should be used when reporting service 98940,",Acute treatment,2025-09-12
"AU001007Item furnished in conjunction with a urological, ostomy, or tracheostomy supply","Uro, ostomy or trach item",2025-09-12
"AV001007Item furnished in conjunction with a prosthetic device, prosthetic or orthotic",Item w prosthetic/orthotic,2025-09-12
AW001007Item furnished in conjunction with a surgical dressing,Item w a surgical dressing,2025-09-12
AX001007Item furnished in conjunction with dialysis services,Item w dialysis services,2025-09-12
AY001007Item or service furnished to an esrd patient that is not for the treatment of,Item/service not for esrd tx,2025-09-12
AZ001007Physician providing a service in a dental health professional shortage area for,Physician serv in dent hpsa,2025-09-12
BA001007Item furnished in conjunction with parenteral enteral nutrition (pen) services,Item w pen services,2025-09-12
BL001007Special acquisition of blood and blood products,Spec acquisition blood prods,2025-09-12
"BO001007Orally administered nutrition, not by feeding tube",Nutrition oral admin no tube,2025-09-12
BP001007The beneficiary has been informed of the purchase and rental options and has,Bene electd to purchase item,2025-09-12
BR001007The beneficiary has been informed of the purchase and rental options and has,Bene elected to rent item,2025-09-12
BU001007The beneficiary has been informed of the purchase and rental options and after,Bene undecided on purch/rent,2025-09-12
CA001007Procedure payable only in the inpatient setting when performed emergently on an,Procedure payable inpatient,2025-09-12
