npi,last_name,first_name,last_updated
1679576722,WIEBE,DAVID,2025-09-12
1588667638,PILCHER,WILLIAM,2025-09-12
1215930367,GRESSOT,LAURENT,2025-09-12
1932102084,ADUSUMILLI,RAVI,2025-09-12
1841293990,WORTSMAN,SUSAN,2025-09-12
1750384806,BISBEE,ROBERT,2025-09-12
1669475711,SUNG,BIN,2025-09-12
1578566626,KUIPERS,WARREN,2025-09-12
1487657532,HUEBERT,ALLISON,2025-09-12
1396748448,YOUNG-MAYKA,CYNTHIA,2025-09-12
1205839354,DIFILIPPO,EMIL,2025-09-12
1114920261,THACKER,RICHARD,2025-09-12
1932102985,ROTHSTEIN,MARK,2025-09-12
1841293891,GIBBS,ELMER,2025-09-12
1750384707,MARKMAN,ALAN,2025-09-12
1669475612,TROTCHIE,DEBRA,2025-09-12
1396748349,GRUNERT,GEORGE,2025-09-12
1205839255,GOLDBERG,STEVEN,2025-09-12
1114920162,DUBOSE,JON,2025-09-12
1922001973,ANDERSON-KRULL,TERESA,2025-09-12
1831192889,COE,CRAIG,2025-09-12
1659374601,OBERDICK,WENDY,2025-09-12
1568465516,SALENGER,RAWN,2025-09-12
1477556421,ROTH,STEVEN,2025-09-12
1255334207,SOUCIER,RICHARD,2025-09-12
1164425112,ISETTS,BRIAN,2025-09-12
1073516027,CHANG,JOHN,2025-09-12
1619970662,FRIEDMAN,LISA,2025-09-12
1245233295,POTTS,JILL,2025-09-12
1871596825,WOLTER,TIMOTHY,2025-09-12
1780687731,STAUBSINGER,ARLENE,2025-09-12
1508869553,VAN HOUTEN-SAUTER,LEE,2025-09-12
1417950460,GARCIA,JOHN,2025-09-12
1225031271,SHEPHERD,JOHN,2025-09-12
1134122187,RUDNICKE,CHERYL,2025-09-12
1952304909,VASTA,ALFRED,2025-09-12
1861495814,SMITH,FRANCISCO,2025-09-12
1689677635,DURITSCH,STEPHEN,2025-09-12
1598768541,ARENAS,BERTHA,2025-09-12
1407859457,MAGNIFICO,THOMAS,2025-09-12
1316940364,CONJEEVARAM,GEETHA,2025-09-12
1124021175,TRIPPI,DANA,2025-09-12
1033112081,FOGARTY,JOHN,2025-09-12
1942203997,MYERS,JACQUELINE,2025-09-12
1851394803,HARPER,SPENCE,2025-09-12
1649273681,RENOUF,ROSE ANN,2025-09-12
1558364596,AKBAR,TANVEER,2025-09-12
1467455402,MCCOY,SCOTT,2025-09-12
1376546317,ALLGEIER,MAURICE,2025-09-12
1285637223,LOWRY,STEVEN,2025-09-12
1194728139,STEWART,SUSAN,2025-09-12
1003819046,NYLANDER,BARBARA,2025-09-12
1912900952,KAUFFMAN,STEPHEN,2025-09-12
1306849336,TOWNSEND,ERIC,2025-09-12
1215930243,VINCENT,ANDREW,2025-09-12
1932102969,HELFER,TAMARA,2025-09-12
1841293875,MARTIN,ANDREA,2025-09-12
1750384780,PERRIGIN,JULIE,2025-09-12
1669475695,MCMAHAN,LYNN,2025-09-12
