code,description,last_updated
101013,Neoplasm of anterior aspect of epiglottis,2025-09-12
101013,Neoplasm of anterior aspect of epiglottis,2025-09-12
102018,Neoplasm of junctional region of epiglottis,2025-09-12
102018,Neoplasm of junctional region of epiglottis,2025-09-12
103011,Neoplasm of lateral wall of oropharynx,2025-09-12
103011,Neoplasm of lateral wall of oropharynx,2025-09-12
104017,Neoplasm of posterior wall of oropharynx,2025-09-12
104017,Neoplasm of posterior wall of oropharynx,2025-09-12
105016,Neoplasm of esophagus,2025-09-12
105016,Neoplasm of esophagus,2025-09-12
106015,Neoplasm of cervical esophagus,2025-09-12
106015,Neoplasm of cervical esophagus,2025-09-12
107012,Neoplasm of thoracic esophagus,2025-09-12
107012,Neoplasm of thoracic esophagus,2025-09-12
108019,Neoplasm of abdominal esophagus,2025-09-12
108019,Neoplasm of abdominal esophagus,2025-09-12
110017,Neoplasm of middle third of esophagus,2025-09-12
110017,Neoplasm of middle third of esophagus,2025-09-12
111018,Neoplasm of lower third of esophagus,2025-09-12
111018,Neoplasm of lower third of esophagus,2025-09-12
112013,Neoplasm of stomach,2025-09-12
112013,Neoplasm of stomach,2025-09-12
113015,Neoplasm of cardia of stomach,2025-09-12
113015,Neoplasm of cardia of stomach,2025-09-12
114014,Neoplasm of fundus of stomach,2025-09-12
114014,Neoplasm of fundus of stomach,2025-09-12
115010,Neoplasm of body of stomach,2025-09-12
115010,Neoplasm of body of stomach,2025-09-12
116011,Neoplasm of lesser curvature of stomach,2025-09-12
116011,Neoplasm of lesser curvature of stomach,2025-09-12
117019,Neoplasm of greater curvature of stomach,2025-09-12
117019,Neoplasm of greater curvature of stomach,2025-09-12
118012,Neoplasm of pyloric antrum,2025-09-12
118012,Neoplasm of pyloric antrum,2025-09-12
119016,Neoplasm of pylorus,2025-09-12
119016,Neoplasm of pylorus,2025-09-12
120010,Neoplasm of small intestine,2025-09-12
120010,Neoplasm of small intestine,2025-09-12
121014,Neoplasm of duodenum,2025-09-12
121014,Neoplasm of duodenum,2025-09-12
122019,Neoplasm of jejunum,2025-09-12
122019,Neoplasm of jejunum,2025-09-12
123012,Neoplasm of ileum,2025-09-12
123012,Neoplasm of ileum,2025-09-12
124018,Neoplasm of Meckel's diverticulum,2025-09-12
125017,Neoplasm of large intestine,2025-09-12
125017,Neoplasm of large intestine,2025-09-12
126016,Neoplasm of colon,2025-09-12
126016,Neoplasm of colon,2025-09-12
127013,Neoplasm of cecum,2025-09-12
127013,Neoplasm of cecum,2025-09-12
128015,Neoplasm of ascending colon,2025-09-12
128015,Neoplasm of ascending colon,2025-09-12
129011,Neoplasm of hepatic flexure of colon,2025-09-12
129011,Neoplasm of hepatic flexure of colon,2025-09-12
130018,Neoplasm of transverse colon,2025-09-12
130018,Neoplasm of transverse colon,2025-09-12
131019,Neoplasm of splenic flexure of colon,2025-09-12
131019,Neoplasm of splenic flexure of colon,2025-09-12
132014,Neoplasm of descending colon,2025-09-12
132014,Neoplasm of descending colon,2025-09-12
133016,Neoplasm of sigmoid colon,2025-09-12
133016,Neoplasm of sigmoid colon,2025-09-12
134010,Neoplasm of appendix,2025-09-12
134010,Neoplasm of appendix,2025-09-12
135011,Neoplasm of rectum,2025-09-12
135011,Neoplasm of rectum,2025-09-12
136012,Neoplasm of rectosigmoid junction,2025-09-12
136012,Neoplasm of rectosigmoid junction,2025-09-12
137015,Neoplasm of anus,2025-09-12
137015,Neoplasm of anus,2025-09-12
138013,Neoplasm of anal canal,2025-09-12
138013,Neoplasm of anal canal,2025-09-12
139017,Neoplasm of liver,2025-09-12
139017,Neoplasm of liver,2025-09-12
140015,Neoplasm of intrahepatic bile ducts,2025-09-12
140015,Neoplasm of intrahepatic bile ducts,2025-09-12
141016,Neoplasm of biliary tract,2025-09-12
141016,Neoplasm of biliary tract,2025-09-12
142011,Neoplasm of gallbladder,2025-09-12
142011,Neoplasm of gallbladder,2025-09-12
143018,Neoplasm of extrahepatic bile ducts,2025-09-12
143018,Neoplasm of extrahepatic bile ducts,2025-09-12
144012,Neoplasm of cystic duct,2025-09-12
144012,Neoplasm of cystic duct,2025-09-12
145013,Neoplasm of common bile duct,2025-09-12
145013,Neoplasm of common bile duct,2025-09-12
146014,Neoplasm of ampulla of Vater,2025-09-12
147017,Neoplasm of pancreas,2025-09-12
147017,Neoplasm of pancreas,2025-09-12
148010,Neoplasm of head of pancreas,2025-09-12
148010,Neoplasm of head of pancreas,2025-09-12
149019,Neoplasm of body of pancreas,2025-09-12
149019,Neoplasm of body of pancreas,2025-09-12
150019,Neoplasm of tail of pancreas,2025-09-12
150019,Neoplasm of tail of pancreas,2025-09-12
151015,Neoplasm of pancreatic duct,2025-09-12
151015,Neoplasm of pancreatic duct,2025-09-12
152010,Neoplasm of islets of Langerhans,2025-09-12
153017,Neoplasm of the peritoneum,2025-09-12
153017,Neoplasm of the peritoneum,2025-09-12
154011,Neoplasm of parietal peritoneum,2025-09-12
154011,Neoplasm of parietal peritoneum,2025-09-12
155012,Neoplasm of pelvic peritoneum,2025-09-12
155012,Neoplasm of pelvic peritoneum,2025-09-12
156013,Neoplasm of rectouterine pouch,2025-09-12
156013,Neoplasm of rectouterine pouch,2025-09-12
157016,Neoplasm of the mesentery,2025-09-12
157016,Neoplasm of the mesentery,2025-09-12
158014,Neoplasm of the mesocolon,2025-09-12
158014,Neoplasm of the mesocolon,2025-09-12
159018,Neoplasm of the omentum,2025-09-12
159018,Neoplasm of the omentum,2025-09-12
160011,Neoplasm of the retroperitoneum,2025-09-12
160011,Neoplasm of the retroperitoneum,2025-09-12
161010,Neoplasm of periadrenal tissue,2025-09-12
161010,Neoplasm of periadrenal tissue,2025-09-12
162015,Neoplasm of perirenal tissue,2025-09-12
162015,Neoplasm of perirenal tissue,2025-09-12
163013,Neoplasm of retrocecal tissue,2025-09-12
163013,Neoplasm of retrocecal tissue,2025-09-12
164019,Neoplasm of mesothelial tissue of peritoneum,2025-09-12
164019,Neoplasm of mesothelial tissue of peritoneum,2025-09-12
165018,Disorder of glucose metabolism,2025-09-12
165018,Disorder of glucose metabolism,2025-09-12
166017,Persistent preputial frenulum,2025-09-12
166017,Persistent preputial frenulum,2025-09-12
167014,Neoplasm of urinary system,2025-09-12
167014,Neoplasm of urinary system,2025-09-12
168016,Neoplasm of kidney,2025-09-12
168016,Neoplasm of kidney,2025-09-12
169012,Neoplasm of renal pelvis,2025-09-12
169012,Neoplasm of renal pelvis,2025-09-12
170013,Neoplasm of ureter,2025-09-12
170013,Neoplasm of ureter,2025-09-12
171012,Neoplasm of urethra,2025-09-12
171012,Neoplasm of urethra,2025-09-12
172017,Neoplasm of paraurethral glands,2025-09-12
172017,Neoplasm of paraurethral glands,2025-09-12
173010,Neoplasm of bladder,2025-09-12
173010,Neoplasm of bladder,2025-09-12
174016,Neoplasm of trigone of urinary bladder,2025-09-12
174016,Neoplasm of trigone of urinary bladder,2025-09-12
175015,Neoplasm of apex of urinary bladder,2025-09-12
175015,Neoplasm of apex of urinary bladder,2025-09-12
176019,Neoplasm of lateral wall of urinary bladder,2025-09-12
176019,Neoplasm of lateral wall of urinary bladder,2025-09-12
177011,Neoplasm of anterior wall of urinary bladder,2025-09-12
177011,Neoplasm of anterior wall of urinary bladder,2025-09-12
178018,Neoplasm of posterior wall of urinary bladder,2025-09-12
178018,Neoplasm of posterior wall of urinary bladder,2025-09-12
179014,Neoplasm of urinary bladder neck,2025-09-12
179014,Neoplasm of urinary bladder neck,2025-09-12
180012,Neoplasm of ureteric orifice of urinary bladder,2025-09-12
180012,Neoplasm of ureteric orifice of urinary bladder,2025-09-12
181011,Neoplasm of urachus,2025-09-12
181011,Neoplasm of urachus,2025-09-12
183014,Neoplasm of male genital organ,2025-09-12
183014,Neoplasm of male genital organ,2025-09-12
184015,Neoplasm of penis,2025-09-12
